item_id,transaction_id,product_id,quantity,price_per_unit,product_name,category
1,1,32,1,881.19,Ceramic Mixer,Kitchen
2,2,9,1,907.16,Durable Stapler,Office Supplies
3,3,50,3,609.91,Wireless Smartwatch,Electronics
4,3,1,2,657.49,Educational Doll,Toys & Games
5,3,19,3,470.88,Compact Vacuum,Home Appliances
6,3,2,2,58.73,Ceramic Blender,Kitchen
7,4,19,1,470.88,Compact Vacuum,Home Appliances
8,4,34,2,581.47,Natural Moisturizer,Beauty & Personal Care
9,4,35,2,676.61,Hypoallergenic Hair Dryer,Beauty & Personal Care
10,5,36,2,432.44,Energy-efficient Fan,Home Appliances
11,5,16,2,164.09,Classic Puzzle,Toys & Games
12,6,19,1,470.88,Compact Vacuum,Home Appliances
13,6,1,2,657.49,Educational Doll,Toys & Games
14,7,19,1,470.88,Compact Vacuum,Home Appliances
15,7,18,2,218.27,Hardcover Biography,Books
16,8,39,3,426.93,Ergonomic Cabinet,Furniture
17,8,13,3,936.93,All-Weather Ball,Sports & Outdoors
18,8,21,3,330.45,Smart Heater,Home Appliances
19,9,8,2,620.77,Casual Jeans,Clothing
20,10,8,1,620.77,Casual Jeans,Clothing
21,10,26,3,27.02,Portable Fitness Tracker,Sports & Outdoors
22,10,15,2,670.76,Vintage Jacket,Clothing
23,11,31,3,11.91,Formal Jeans,Clothing
24,12,38,2,898.61,Organic Moisturizer,Beauty & Personal Care
25,12,32,1,881.19,Ceramic Mixer,Kitchen
26,12,9,2,907.16,Durable Stapler,Office Supplies
27,12,17,2,437.4,Executive Pen Set,Office Supplies
28,13,32,2,881.19,Ceramic Mixer,Kitchen
29,13,29,1,869.43,Casual Shirt,Clothing
30,13,36,3,432.44,Energy-efficient Fan,Home Appliances
31,13,17,2,437.4,Executive Pen Set,Office Supplies
32,13,28,3,513.64,Recycled Pen Set,Office Supplies
33,14,23,3,853.43,Compact Cabinet,Furniture
34,14,34,2,581.47,Natural Moisturizer,Beauty & Personal Care
35,14,11,3,798.89,Electronic Puzzle,Toys & Games
36,15,26,2,27.02,Portable Fitness Tracker,Sports & Outdoors
37,15,2,2,58.73,Ceramic Blender,Kitchen
38,16,28,3,513.64,Recycled Pen Set,Office Supplies
39,16,8,1,620.77,Casual Jeans,Clothing
40,16,26,2,27.02,Portable Fitness Tracker,Sports & Outdoors
41,17,41,3,572.96,Lightweight Tent,Sports & Outdoors
42,17,20,1,269.58,Interactive Building Blocks,Toys & Games
43,17,39,3,426.93,Ergonomic Cabinet,Furniture
44,17,34,3,581.47,Natural Moisturizer,Beauty & Personal Care
45,18,28,2,513.64,Recycled Pen Set,Office Supplies
46,18,42,3,874.95,Vintage Shirt,Clothing
47,18,26,3,27.02,Portable Fitness Tracker,Sports & Outdoors
48,18,33,2,872.23,Durable Backpack,Sports & Outdoors
49,18,3,2,380.13,Luxury Moisturizer,Beauty & Personal Care
50,19,6,2,969.12,Professional Ball,Sports & Outdoors
51,19,46,3,186.25,Natural Hair Dryer,Beauty & Personal Care
52,19,49,1,971.24,Creative Board Game,Toys & Games
53,20,1,3,657.49,Educational Doll,Toys & Games
54,20,50,2,609.91,Wireless Smartwatch,Electronics
55,20,19,2,470.88,Compact Vacuum,Home Appliances
56,21,13,1,936.93,All-Weather Ball,Sports & Outdoors
57,21,34,1,581.47,Natural Moisturizer,Beauty & Personal Care
58,22,9,1,907.16,Durable Stapler,Office Supplies
59,22,17,1,437.4,Executive Pen Set,Office Supplies
60,22,28,1,513.64,Recycled Pen Set,Office Supplies
61,22,40,2,185.38,Ergonomic Cabinet,Furniture
62,23,37,1,575.69,Classic Board Game,Toys & Games
63,23,10,2,224.96,Portable TV,Electronics
64,23,21,3,330.45,Smart Heater,Home Appliances
65,24,27,2,33.26,Professional Shampoo,Beauty & Personal Care
66,25,2,1,58.73,Ceramic Blender,Kitchen
67,25,13,1,936.93,All-Weather Ball,Sports & Outdoors
68,26,13,1,936.93,All-Weather Ball,Sports & Outdoors
69,26,15,3,670.76,Vintage Jacket,Clothing
70,26,39,1,426.93,Ergonomic Cabinet,Furniture
71,26,17,1,437.4,Executive Pen Set,Office Supplies
72,27,50,3,609.91,Wireless Smartwatch,Electronics
73,27,5,1,217.67,Classic Board Game,Toys & Games
74,28,48,1,353.38,Portable Bicycle,Sports & Outdoors
75,28,49,3,971.24,Creative Board Game,Toys & Games
76,28,42,3,874.95,Vintage Shirt,Clothing
77,29,20,3,269.58,Interactive Building Blocks,Toys & Games
78,29,29,1,869.43,Casual Shirt,Clothing
79,30,50,3,609.91,Wireless Smartwatch,Electronics
80,31,50,1,609.91,Wireless Smartwatch,Electronics
81,31,19,3,470.88,Compact Vacuum,Home Appliances
82,31,1,2,657.49,Educational Doll,Toys & Games
83,32,28,2,513.64,Recycled Pen Set,Office Supplies
84,32,9,1,907.16,Durable Stapler,Office Supplies
85,33,44,1,36.41,Wooden Cabinet,Furniture
86,33,12,2,853.97,Designer Shirt,Clothing
87,33,22,3,315.8,Premium Organizer,Office Supplies
88,34,37,2,575.69,Classic Board Game,Toys & Games
89,34,38,3,898.61,Organic Moisturizer,Beauty & Personal Care
90,35,2,3,58.73,Ceramic Blender,Kitchen
91,35,32,3,881.19,Ceramic Mixer,Kitchen
92,36,8,1,620.77,Casual Jeans,Clothing
93,36,36,2,432.44,Energy-efficient Fan,Home Appliances
94,37,48,3,353.38,Portable Bicycle,Sports & Outdoors
95,38,41,3,572.96,Lightweight Tent,Sports & Outdoors
96,38,45,3,500.45,Electric Cookware Set,Kitchen
97,39,19,2,470.88,Compact Vacuum,Home Appliances
98,39,1,3,657.49,Educational Doll,Toys & Games
99,39,50,1,609.91,Wireless Smartwatch,Electronics
100,39,20,1,269.58,Interactive Building Blocks,Toys & Games
101,40,2,3,58.73,Ceramic Blender,Kitchen
102,40,37,1,575.69,Classic Board Game,Toys & Games
103,41,10,2,224.96,Portable TV,Electronics
104,41,8,3,620.77,Casual Jeans,Clothing
105,41,9,2,907.16,Durable Stapler,Office Supplies
106,42,2,3,58.73,Ceramic Blender,Kitchen
107,42,32,2,881.19,Ceramic Mixer,Kitchen
108,42,43,2,871.0,Electric Toaster,Kitchen
109,43,9,1,907.16,Durable Stapler,Office Supplies
110,43,17,1,437.4,Executive Pen Set,Office Supplies
111,44,2,2,58.73,Ceramic Blender,Kitchen
112,44,32,1,881.19,Ceramic Mixer,Kitchen
113,45,9,3,907.16,Durable Stapler,Office Supplies
114,45,28,3,513.64,Recycled Pen Set,Office Supplies
115,45,8,1,620.77,Casual Jeans,Clothing
116,46,42,3,874.95,Vintage Shirt,Clothing
117,46,50,3,609.91,Wireless Smartwatch,Electronics
118,46,1,1,657.49,Educational Doll,Toys & Games
119,47,35,2,676.61,Hypoallergenic Hair Dryer,Beauty & Personal Care
120,47,48,3,353.38,Portable Bicycle,Sports & Outdoors
121,47,28,2,513.64,Recycled Pen Set,Office Supplies
122,47,29,3,869.43,Casual Shirt,Clothing
123,47,19,1,470.88,Compact Vacuum,Home Appliances
124,48,1,3,657.49,Educational Doll,Toys & Games
125,48,50,3,609.91,Wireless Smartwatch,Electronics
126,48,19,1,470.88,Compact Vacuum,Home Appliances
127,48,21,3,330.45,Smart Heater,Home Appliances
128,49,28,2,513.64,Recycled Pen Set,Office Supplies
129,49,17,3,437.4,Executive Pen Set,Office Supplies
130,49,9,1,907.16,Durable Stapler,Office Supplies
131,49,18,1,218.27,Hardcover Biography,Books
132,49,2,1,58.73,Ceramic Blender,Kitchen
133,50,2,3,58.73,Ceramic Blender,Kitchen
134,51,46,2,186.25,Natural Hair Dryer,Beauty & Personal Care
135,51,42,3,874.95,Vintage Shirt,Clothing
136,51,40,2,185.38,Ergonomic Cabinet,Furniture
137,52,25,1,255.44,All-Weather Tent,Sports & Outdoors
138,52,23,1,853.43,Compact Cabinet,Furniture
139,52,20,2,269.58,Interactive Building Blocks,Toys & Games
140,53,43,1,871.0,Electric Toaster,Kitchen
141,54,32,1,881.19,Ceramic Mixer,Kitchen
142,54,2,1,58.73,Ceramic Blender,Kitchen
143,54,43,1,871.0,Electric Toaster,Kitchen
144,54,34,1,581.47,Natural Moisturizer,Beauty & Personal Care
145,55,28,2,513.64,Recycled Pen Set,Office Supplies
146,55,9,1,907.16,Durable Stapler,Office Supplies
147,55,17,2,437.4,Executive Pen Set,Office Supplies
148,56,12,3,853.97,Designer Shirt,Clothing
149,56,4,3,692.96,Vintage T-shirt,Clothing
150,56,21,3,330.45,Smart Heater,Home Appliances
151,56,37,2,575.69,Classic Board Game,Toys & Games
152,57,9,3,907.16,Durable Stapler,Office Supplies
153,57,37,2,575.69,Classic Board Game,Toys & Games
154,57,13,2,936.93,All-Weather Ball,Sports & Outdoors
155,57,42,3,874.95,Vintage Shirt,Clothing
156,57,17,3,437.4,Executive Pen Set,Office Supplies
157,58,24,3,116.35,Wireless TV,Electronics
158,58,14,2,945.75,Modern Sofa,Furniture
159,58,47,1,275.32,Limited Edition Self-Help Book,Books
160,59,7,2,669.73,Bestselling Biography,Books
161,59,49,1,971.24,Creative Board Game,Toys & Games
162,59,19,1,470.88,Compact Vacuum,Home Appliances
163,60,40,3,185.38,Ergonomic Cabinet,Furniture
164,60,7,3,669.73,Bestselling Biography,Books
165,60,29,2,869.43,Casual Shirt,Clothing
166,60,32,1,881.19,Ceramic Mixer,Kitchen
167,60,36,2,432.44,Energy-efficient Fan,Home Appliances
168,61,8,2,620.77,Casual Jeans,Clothing
169,61,28,2,513.64,Recycled Pen Set,Office Supplies
170,62,17,1,437.4,Executive Pen Set,Office Supplies
171,62,44,2,36.41,Wooden Cabinet,Furniture
172,63,50,1,609.91,Wireless Smartwatch,Electronics
173,63,1,3,657.49,Educational Doll,Toys & Games
174,64,50,3,609.91,Wireless Smartwatch,Electronics
175,64,19,1,470.88,Compact Vacuum,Home Appliances
176,64,1,2,657.49,Educational Doll,Toys & Games
177,65,28,2,513.64,Recycled Pen Set,Office Supplies
178,65,17,1,437.4,Executive Pen Set,Office Supplies
179,65,9,2,907.16,Durable Stapler,Office Supplies
180,65,27,3,33.26,Professional Shampoo,Beauty & Personal Care
181,65,24,2,116.35,Wireless TV,Electronics
182,66,28,1,513.64,Recycled Pen Set,Office Supplies
183,67,16,1,164.09,Classic Puzzle,Toys & Games
184,67,18,1,218.27,Hardcover Biography,Books
185,67,40,3,185.38,Ergonomic Cabinet,Furniture
186,68,45,3,500.45,Electric Cookware Set,Kitchen
187,69,1,1,657.49,Educational Doll,Toys & Games
188,69,50,3,609.91,Wireless Smartwatch,Electronics
189,70,5,1,217.67,Classic Board Game,Toys & Games
190,70,10,1,224.96,Portable TV,Electronics
191,71,18,3,218.27,Hardcover Biography,Books
192,71,22,2,315.8,Premium Organizer,Office Supplies
193,72,1,2,657.49,Educational Doll,Toys & Games
194,72,50,2,609.91,Wireless Smartwatch,Electronics
195,72,19,3,470.88,Compact Vacuum,Home Appliances
